T,K,iv
0.06027397260273973,756.0,0.11357629628501079
0.06027397260273973,755.0,0.11453522437264442
0.06027397260273973,757.0,0.11284044484060797
0.06027397260273973,754.0,0.1152481114946918
0.06027397260273973,758.0,0.11279573955594753
0.06027397260273973,753.0,0.11640471287373558
0.06027397260273973,759.0,0.11201924092304714
0.06027397260273973,752.0,0.1179542524501394
0.07671232876712329,756.0,0.12053579815510154
0.07671232876712329,755.0,0.12085401351146968
0.07671232876712329,757.0,0.11997032667021441
0.07671232876712329,754.0,0.12219595091425654
0.07671232876712329,758.0,0.11945620231657479
0.07671232876712329,753.0,0.12281552017578505
0.07671232876712329,759.0,0.11791072716713959
0.07671232876712329,752.0,0.12442151957512228
0.1178082191780822,756.0,0.12914426267061124
0.1178082191780822,755.0,0.12964904797128957
0.1178082191780822,757.0,0.12881798245684903
0.1178082191780822,754.0,0.13126367384753354
0.1178082191780822,758.0,0.1274579830944997
0.1178082191780822,753.0,0.13199190857722906
0.1178082191780822,759.0,0.12661307971544733
0.1178082191780822,752.0,0.13335330563089473
0.2136986301369863,756.0,0.14905819956743813
0.2136986301369863,755.0,0.15003991556585158
0.2136986301369863,757.0,0.148639399767047
0.2136986301369863,754.0,0.15078975825582874
0.2136986301369863,758.0,0.14769863326610197
0.2136986301369863,753.0,0.15199971468769827
0.2136986301369863,759.0,0.14681327672508157
0.2136986301369863,752.0,0.15261336647543972
0.29041095890410956,755.0,0.158758485049472
0.29041095890410956,760.0,0.1551095804928912
0.29041095890410956,750.0,0.16240811255519297
0.29041095890410956,765.0,0.1518351195991294
0.29041095890410956,745.0,0.16644051776652186
0.29041095890410956,770.0,0.1486952258143032
0.29041095890410956,740.0,0.170710576890123
0.29041095890410956,775.0,0.14580306251589817
0.36712328767123287,755.0,0.16174666329743964
0.36712328767123287,760.0,0.15876310986375264
0.36712328767123287,750.0,0.16531272491546214
0.36712328767123287,765.0,0.15570742289013143
0.36712328767123287,745.0,0.16855273825202657
0.36712328767123287,770.0,0.15273707939698947
0.36712328767123287,740.0,0.16851116939643032
0.36712328767123287,775.0,0.15009570650727203
0.46301369863013697,755.0,0.1722706014793435
0.46301369863013697,760.0,0.1683652385678524
0.46301369863013697,750.0,0.1711407281458608
0.46301369863013697,765.0,0.16587290577460082
0.46301369863013697,745.0,0.18226282958866627
0.46301369863013697,770.0,0.16310934719663508
0.46301369863013697,740.0,0.18558315092500496
0.46301369863013697,775.0,0.16052204955000185
0.5397260273972603,755.0,0.1767843166570112
0.5397260273972603,760.0,0.17406805318367408
0.5397260273972603,750.0,0.1802992905318409
0.5397260273972603,765.0,0.17122503355297952
